REGISTER NAME,DI Page Address,DI Offset Address,M0 Address,JOINED,##,D7,D6,D5,D4,D3,D2,D1,D0,
REVISION_ID1,0x0,0x00,0x40000400,0x20/0x00,57,OPT_ID[2],OPT_ID[1],OPT_ID[0],,REV_ID[3],REV_ID[2],REV_ID[1],REV_ID[0],
REVISION_ID2,0x0,0x01,0x40000401,0x20/0x01,58,,,,,DL_ID[3],DL_ID[2],DL_ID[1],DL_ID[0],
COM_MCU_TO_DIF_B1,0x0,0x04,0x40000404,0x20/0x04,59,,,,,,,,,
COM_MCU_TO_DIF_B2,0x0,0x05,0x40000405,0x20/0x05,60,,,,,,,,,
COM_TX_STATUS,0x0,0x06,0x40000406,0x20/0x06,61,,,,,,,,COM_TXRDY,
COM_DIF_TO_MCU_B1,0x0,0x08,0x40000408,0x20/0x08,62,,,,,,,,,
COM_DIF_TO_MCU_B2,0x0,0x09,0x40000409,0x20/0x09,63,,,,,,,,,
COM_RX_STATUS,0x0,0x0A,0x4000040A,0x20/0x0A,64,,,,,,,,COM_RXRDY,
COM_RX_INT_ENABLE,0x0,0x0B,0x4000040B,0x20/0x0B,65,,,,,,,,COM_RXRDY_INT_EN,
COMPENSATION_CONTROL,0x0,0x0C,0x4000040C,0x20/0x0C,66,,,,,,DEBUG_LOCK,MICRO_RESET,IF_SEL,ALSO CALLED MICRO_INTERFACE_CONTROL
SECLOCK,0x0,0x0D,0x4000040D,0x20/0x0D,67,,,,,,,,SECLOCK,
AFE_CFG,0x0,0xF4,0x400004F4,0x20/0xF4,39,Write 0,Write 0,PGAIN_OPEN,Write 0 ,Write 0 ,Write 0 ,Write 0 ,Write 0 ,
RAMBIST_ CONTROL,0x2,0x02,0x40000502,0x22/0x02,1,,,,,DEVRAM_MBIST_CTRL[1],DEVRAM_MBIST_CTRL[0],DATARAM_MBIST_CTRL[1],DATARAM_MBIST_CTRL[0],
RAMBIST_STATUS,0x2,0x03,0x40000503,0x22/0x03,2,,,DEVRAM_MBIST_FAIL,DEVRAM_MBIST_DONE,,,DATARAM_MBIST_FAIL,DATARAM_MBIST_DONE,
CLK_CTRL_STATUS,0x2,0x04,0x40000504,0X22/0x04,3,,,CLK_STATUS_1,CLK_STATUS_0,,,CLK_CTRL_1,CLK_CTRL_0,
DIG_IF_CTRL,0x2,0x06,0x40000506,0x22/0x06,4,,I2C_DEGLITCH_EN,I2C_RATE,OWI_DGL_CNT_SEL,OWI_XCVR_EN,OWI_EN,I2C_EN,SPI_EN,
OWI_ERROR_STATUS_LO,0x2,0x08,0x40000508,0x22/0x08,5,OWI_ERR7,OWI_ERR6,OWI_ERR5,OWI_ERR4,OWI_ERR3,OWI_ERR2,OWI_ERR1,OWI_ERR0,
OWI_ERROR_STATUS_HI,0x2,0x09,0x40000509,0x22/0x09,6,OWI_ERR_CLR,,,,,,OWI_ERR9,OWI_ERR8,
OWI_INTERRUPT,0x2,0x0A,0x4000050A,0x22/0x0A,7,,,,,,,,OWI_INT,
OWI_INTERRUPT_ENABLE,0x2,0x0B,0x4000050B,0x22/0x0B,8,,,,,,,,OWI_INT_EN,
OTP_PROG_DATA1,0x2,0x10,0x40000510,0x22/0x10,9,,,,,,,,,
OTP_PROG_DATA2,0x2,0x11,0x40000511,0x22/0x11,10,,,,,,,,,
OTP_PROG_DATA3,0x2,0x12,0x40000512,0x22/0x12,11,,,,,,,,,
OTP_PROG_DATA4,0x2,0x13,0x40000513,0x22/0x13,12,,,,,,,,,
OTP_PROG_ADDR1,0x2,0x14,0x40000514,0x22/0x14,13,ADDR[7],ADDR[6],ADDR[5],ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],
OTP_PROG_ADDR2,0x2,0x15,0x40000515,0x22/0x15,14,OTP_PROG,,,,,ADDR[10],ADDR[9],ADDR[8],
OTP_PROG_CTRL_STAT,0x2,0x16,0x40000516,0x22/0x16,15,,,,,,,OTP_PROG_IN_PROGRESS,OTP_PROGTIMER_DIS,
OTP_PAGE_ADDR,0x2,0x18,0x40000518,0x22/0x18,16,,,,ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],
DATARAM_PAGE_ADDR,0x2,0x19,0x40000519,0x22/0x19,17,,,,,,,ADDR[1],ADDR[0],
DEVRAM_PAGE_ADDR,0x2,0x1A,0x4000051A,0x22/0x1A,18,,,,ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],
WDOG_CTRL_STAT,0x2,0x1C,0x4000051C,0x22/0x1C,19,WDOG_RESET,,,,,,,WDOG_EN,
WDOG_TRIG,0x2,0x1D,0x4000051D,0x22/0x1D,20,,,,,,,,,
PIN_MUX,0x2,0x1E,0x4000051E,0x22/0x1E,21,,,,,,,,UART_SEL,
PADC_DATA1,0x2,0x20,0x40000520,0x22/0x20,22,,,,,,,,,
PADC_DATA2,0x2,0x21,0x40000521,0x22/0x21,23,,,,,,,,,
PADC_DATA3,0x2,0x22,0x40000522,0x22/0x22,24,,,,,,,,,
PADC_CONFIG,0x2,0x23,0x40000523,0x22/0x23,25,,,,,PADC_INT_RATE,PADC_DECI_RATE,PADC_EN_24BIT,PADC_EN,DOESN'T EXIST IN PGA305
TADC_DATA1,0x2,0x24,0x40000524,0x22/0x24,26,,,,,,,,,
TADC_DATA2,0x2,0x25,0x40000525,0x22/0x25,27,,,,,,,,,
TADC_DATA3,0x2,0x26,0x40000526,0x22/0x26,28,,,,,,,,,
TADC_CONFIG,0x2,0x27,0x40000527,0x22/0x27,29,,,,,TADC_INT_RATE,TADC_DECI_RATE,TADC_EN_2BIT,TADC_EN,DOESN'T EXIST IN PGA305
ADC_CFG_1,0x2,0x29,0x40000529,0x22/0x29,30,,Write 0,Write 0,ADC_EN,Write 0,Write 0,RESET_CLK,RESET_MOD,
DAC_REG0_1,0x2,0x30,0x40000530,0x22/0x30,31,,,,,,,,,"DAC_REG_0 DRIVES DAC OUTPUT. IN PWM MODE, IT DEFINES THE VOLTAGE LEVE OF THE PWM 0 PULSE"
DAC_REG0_2,0x2,0x31,0x40000531,0x22/0x31,32,,,,,,,,,
DAC_REG1_1,0x2,0x32,0x40000532,0x22/0x32,33,,,,,,,,,DAC_REG1 DRIVES VOLTAGE LEVEL OF THE PWM 1 PULSE. 
DAC_REG1_2,0x2,0x33,0x40000533,0x22/0x33,34,,,,,,,,,
DAC_CTRL_STATUS,0x2,0x38,0x40000538,0x22/0x38,35,,,,,,,,DAC_ENABLE,
DAC_CONFIG,0x2,0x39,0x40000539,0x22/0x39,36,,,,,,,,DAC_RATIOMETRIC,
DAC_LPBK_CTRL,0x2,0x3A,0x4000053A,0x22/0x3A,37,,,,,,EN_LB,LB_AMP_EN,LB_CONNECT,
OP_STAGE_CTRL,0x2,0x3B,0x4000053B,0x22/0x3B,38,,,PULLUP_EN,DACCAP_EN,4_20MA_EN,DAC_GAIN[2],DAC_GAIN[1],DAC_GAIN[0],
AFEDIAG_CFG,0x2,0x45,0x40000545,0x22/0x45,40,,DIS_R_TEMP,DIS_R_SD,FAULT_THRS[2],FAULT_THRS[1],FAULT_THRS[0],DIS_R2M,DIS_R1M,
BRDG_CTRL,0x2,0x46,0x40000546,0x22/0x46,41,,,,,,VBRDG_CTRL[1],VBRDG_CTRL[0],BRDG_EN,BRIDGE SUPPLY VOLTAGE AND ENABLE PIN
P_GAIN_SELECT,0x2,0x47,0x40000547,0x22/0x47,42,P_INV,,,P_GAIN[4],P_GAIN[3],P_GAIN[2],P_GAIN[1],P_GAIN[0],
T_GAIN_SELECT,0x2,0x48,0x40000548,0x22/0x48,43,T_INV,,,,,,T_GAIN[1],T_GAIN[0],
TEMP_CTRL,0x2,0x4C,0x4000054C,0x22/0x4C,44,,ITEMP_CTRL[2],ITEMP_CTRL[1],ITEMP_CTRL[0],TEMP_MUX_CTRL[3],TEMP_MUX_CTRL[2],TEMP_MUX_CTRL[1],TEMP_MUX_CTRL[0],
ALPWR,0x2,0x50,0x40000550,0x22/0x50,45,,,,GATE_CTRL_SD,,ADC_EN_VREF,,SD,
DLPWR,0x2,0x54,0x40000554,0x22/0x54,46,,,,,,,,OWI_CLK_EN,
PSMON1,0x2,0x58,0x40000558,0x22/0x58,47,OSC_VDD_UV,OSC_VDD_OV,AVDD_UV,AVDD_OV,REF_UV,REF_OV,VBRDG_UV,VBRG_OV,
PSMON2,0x2,0x59,0x40000559,0x22/0x59,48,,,,,,,DVDD_UV,DVDD_OV,
AFEDIAG_CFG,0x2,0x5A,0x4000055A,0x22/0x5A,49,TGAIN_UV,TGAIN_OV,PGAIN_UV,PGAIN_OV,,VINT_OV,VINP_UV,VINP_OV,
TOPDIG_MUX_SEL,0x2,0x60,0x40000560,0x22/0x60,50,,,TOPDIG[5],TOPDIG[4],TOPDIG[3],TOPDIG[2],TOPDIG[1],TOPDIG[0],
TONDIG_MUX_SEL,0x2,0x61,0x40000561,0x22/0x61,51,,,TONDIG[5],TONDIG[4],TONDIG[3],TONDIG[2],TONDIG[1],TONDIG[0],
AMUX_ACT,0x2,0x64,0x40000564,0x22/0x64,52,,,,,,,TOUT_MUX_SEL,TIN_MUX_EN,
AMUX_TIN_MUX_CTRL,0x2,0x65,0x40000565,0x22/0x65,53,,,,,,AMUX_TIN_MUX_CTRL[2],AMUX_TIN_MUX_CTRL[1],AMUX_TIN_MUX_CTRL[0],
AMUX_TOUT_MUX_CTRL,0x2,0x66,0x40000566,0x22/0x66,54,,,,,AMUX_TOUT_MUX_CTRL[3],AMUX_TOUT_MUX_CTRL[2],AMUX_TOUT_MUX_CTRL[1],AMUX_TOUT_MUX_CTRL[0],
AMUX_CTRL,0x2,0x67,0x40000567,0x22/0x67,55,,,,,TSEM_N,TEST_MUX_T_EN,TEST_MUX_P_EN,TEST_MUX_DAC_EN,
TRACE_FIFO_CTRL_STAT,0x2,0x70,0x40000570,0x22/0x70,56,,TRACE_FIFO_FULL,TRACE_FIFO_HALF_FULL,TRACE_FIFO_EMPTY,,,TRACE_SOURCE,TRACE_FIFO_ENABLE,
EEPROM_ARRAY H0_LSB,0x5,0x00,0x40000000,0x25/0x00,92,,,,,,,,,
EEPROM_ARRAY H0_MID,0x5,0x01,0x40000001,0x25/0x01,93,,,,,,,,,
EEPROM_ARRAY H0_MSB,0x5,0x02,0x40000002,0x25/0x02,94,,,,,,,,,
EEPROM_ARRAY H1_LSB,0x5,0x03,0x40000003,0x25/0x03,95,,,,,,,,,
EEPROM_ARRAY H1_MID,0x5,0x04,0x40000004,0x25/0x04,96,,,,,,,,,
EEPROM_ARRAY H1_MSB,0x5,0x05,0x40000005,0x25/0x05,97,,,,,,,,,
EEPROM_ARRAY H2_LSB,0x5,0x06,0x40000006,0x25/0x06,98,,,,,,,,,
EEPROM_ARRAY H2_MID,0x5,0x07,0x40000007,0x25/0x07,99,,,,,,,,,
EEPROM_ARRAY H2_MSB,0x5,0x08,0x40000008,0x25/0x08,100,,,,,,,,,
EEPROM_ARRAY H3_LSB,0x5,0x09,0x40000009,0x25/0x09,101,,,,,,,,,
EEPROM_ARRAY H3_MID,0x5,0x0A,0x4000000A,0x25/0x0A,102,,,,,,,,,
EEPROM_ARRAY H3_MSB,0x5,0x0B,0x4000000B,0x25/0x0B,103,,,,,,,,,
EEPROM_ARRAY G0_LSB,0x5,0x0C,0x4000000C,0x25/0x0C,104,,,,,,,,,
EEPROM_ARRAY G0_MID,0x5,0x0D,0x4000000D,0x25/0x0D,105,,,,,,,,,
EEPROM_ARRAY G0_MSB,0x5,0x0E,0x4000000E,0x25/0x0E,106,,,,,,,,,
EEPROM_ARRAY G1_LSB,0x5,0x0F,0x4000000F,0x25/0x0F,107,,,,,,,,,
EEPROM_ARRAY G1_MID,0x5,0x10,0x40000010,0x25/0x10,108,,,,,,,,,
EEPROM_ARRAY G1_MSB,0x5,0x11,0x40000011,0x25/0x11,109,,,,,,,,,
EEPROM_ARRAY G2_LSB,0x5,0x12,0x40000012,0x25/0x12,110,,,,,,,,,
EEPROM_ARRAY G2_MID,0x5,0x13,0x40000013,0x25/0x13,111,,,,,,,,,
EEPROM_ARRAY G2_MSB,0x5,0x14,0x40000014,0x25/0x14,112,,,,,,,,,
EEPROM_ARRAY G3_LSB,0x5,0x15,0x40000015,0x25/0x15,113,,,,,,,,,
EEPROM_ARRAY G3_MID,0x5,0x16,0x40000016,0x25/0x16,114,,,,,,,,,
EEPROM_ARRAY G3_MSB,0x5,0x17,0x40000017,0x25/0x17,115,,,,,,,,,
EEPROM_ARRAY N0_LSB,0x5,0x18,0x40000018,0x25/0x18,116,,,,,,,,,
EEPROM_ARRAY N0_MID,0x5,0x19,0x40000019,0x25/0x19,117,,,,,,,,,
EEPROM_ARRAY N0_MSB,0x5,0x1A,0x4000001A,0x25/0x1A,118,,,,,,,,,
EEPROM_ARRAY N1_LSB,0x5,0x1B,0x4000001B,0x25/0x1B,119,,,,,,,,,
EEPROM_ARRAY N1_MID,0x5,0x1C,0x4000001C,0x25/0x1C,120,,,,,,,,,
EEPROM_ARRAY N1_MSB,0x5,0x1D,0x4000001D,0x25/0x1D,121,,,,,,,,,
EEPROM_ARRAY N2_LSB,0x5,0x1E,0x4000001E,0x25/0x1E,122,,,,,,,,,
EEPROM_ARRAY N2_MID,0x5,0x1F,0x4000001F,0x25/0x1F,123,,,,,,,,,
EEPROM_ARRAY N2_MSB,0x5,0x20,0x40000020,0x25/0x20,124,,,,,,,,,
EEPROM_ARRAY N3_LSB,0x5,0x21,0x40000021,0x25/0x21,125,,,,,,,,,
EEPROM_ARRAY N3_MID,0x5,0x22,0x40000022,0x25/0x22,126,,,,,,,,,
EEPROM_ARRAY N3_MSB,0x5,0x23,0x40000023,0x25/0x23,127,,,,,,,,,
EEPROM_ARRAY M0_LSB,0x5,0x24,0x40000024,0x25/0x24,128,,,,,,,,,
EEPROM_ARRAY M0_MID,0x5,0x25,0x40000025,0x25/0x25,129,,,,,,,,,
EEPROM_ARRAY M0_MSB,0x5,0x26,0x40000026,0x25/0x26,130,,,,,,,,,
EEPROM_ARRAY M1_LSB,0x5,0x27,0x40000027,0x25/0x27,131,,,,,,,,,
EEPROM_ARRAY M1_MID,0x5,0x28,0x40000028,0x25/0x28,132,,,,,,,,,
EEPROM_ARRAY M1_MSB,0x5,0x29,0x40000029,0x25/0x29,133,,,,,,,,,
EEPROM_ARRAY M2_LSB,0x5,0x2A,0x4000002A,0x25/0x2A,134,,,,,,,,,
EEPROM_ARRAY M2_MID,0x5,0x2B,0x4000002B,0x25/0x2B,135,,,,,,,,,
EEPROM_ARRAY M2_MSB,0x5,0x2C,0x4000002C,0x25/0x2C,136,,,,,,,,,
EEPROM_ARRAY M3_LSB,0x5,0x2D,0x4000002D,0x25/0x2D,137,,,,,,,,,
EEPROM_ARRAY M3_MID,0x5,0x2E,0x4000002E,0x25/0x2E,138,,,,,,,,,
EEPROM_ARRAY M3_MSB,0x5,0x2F,0x4000002F,0x25/0x2F,139,,,,,,,,,
EEPROM_ARRAY DIG_IF_CTRL,0x5,0x30,0x40000030,0x25/0x30,140,,,,,,,,,
EEPROM_ARRAY DAC_CTRL_STATUS,0x5,0x31,0x40000031,0x25/0x31,141,,,,,,,,,
EEPROM_ARRAY DAC_CONFIG,0x5,0x32,0x40000032,0x25/0x32,142,,,,,,,,,
EEPROM_ARRAY OP_STAGE_CTRL,0x5,0x33,0x40000033,0x25/0x33,143,,,,,,,,,
EEPROM_ARRAY BRDG_CTRL,0x5,0x34,0x40000034,0x25/0x34,144,,,,,,,,,
EEPROM_ARRAY P_GAIN_SELECT,0x5,0x35,0x40000035,0x25/0x35,145,,,,,,,,,
EEPROM_ARRAY T_GAIN_SELECT,0x5,0x36,0x40000036,0x25/0x36,146,,,,,,,,,
EEPROM_ARRAY TEMP_CTRL,0x5,0x37,0x40000037,0x25/0x37,147,,,,,,,,,
EEPROM_ARRAY ADD 0x38,0x5,0x38,0x40000038,0x25/0x38,148,,,,,,,,,
EEPROM_ARRAY ADD 0x39,0x5,0x39,0x40000039,0x25/0x39,149,,,,,,,,,
EEPROM_ARRAY TEMP_SE,0x5,0x3A,0x4000003A,0x25/0x3A,150,,,,,,,,,
EEPROM_ARRAY ADD 0x3B,0x5,0x3B,0x4000003B,0x25/0x3B,151,,,,,,,,,
EEPROM_ARRAY NORMAL_LOW_LSB,0x5,0x3C,0x4000003C,0x25/0x3C,152,,,,,,,,,
EEPROM_ARRAY NORMAL_LOW_MSB,0x5,0x3D,0x4000003D,0x25/0x3D,153,,,,,,,,,
EEPROM_ARRAY NORMAL_HIGH_LSB,0x5,0x3E,0x4000003E,0x25/0x3E,154,,,,,,,,,
EEPROM_ARRAY NORMAL_HIGH_MSB,0x5,0x3F,0x4000003F,0x25/0x3F,155,,,,,,,,,
EEPROM_ARRAY LOW_CLAMP_LSB,0x5,0x40,0x40000040,0x25/0x40,156,,,,,,,,,
EEPROM_ARRAY LOW_CLAMP_MSB,0x5,0x41,0x40000041,0x25/0x41,157,,,,,,,,,
EEPROM_ARRAY HIGH_CLAMP_LSB,0x5,0x42,0x40000042,0x25/0x42,158,,,,,,,,,
EEPROM_ARRAY HIGH_CLAMP_MSB,0x5,0x43,0x40000043,0x25/0x43,159,,,,,,,,,
EEPROM_ARRAY PADC_GAIN_LSB,0x5,0x44,0x40000044,0x25/0x44,160,,,,,,,,,
EEPROM_ARRAY PADC_GAIN_MID,0x5,0x45,0x40000045,0x25/0x45,161,,,,,,,,,
EEPROM_ARRAY PADC_GAIN_MSB,0x5,0x46,0x40000046,0x25/0x46,162,,,,,,,,,
EEPROM_ARRAY PADC_OFFSET_LSB,0x5,0x47,0x40000047,0x25/0x47,163,,,,,,,,,
EEPROM_ARRAY PADC_OFFSET_MID,0x5,0x48,0x40000048,0x25/0x48,164,,,,,,,,,
EEPROM_ARRAY PADC_OFFSET_MSB,0x5,0x49,0x40000049,0x25/0x49,165,,,,,,,,,
EEPROM_ARRAY A0_LSB,0x5,0x4A,0x4000004A,0x25/0x4A,166,,,,,,,,,
EEPROM_ARRAY A0_MSB,0x5,0x4B,0x4000004B,0x25/0x4B,167,,,,,,,,,
EEPROM_ARRAY A1_LSB,0x5,0x4C,0x4000004C,0x25/0x4C,168,,,,,,,,,
EEPROM_ARRAY A1_MSB,0x5,0x4D,0x4000004D,0x25/0x4D,169,,,,,,,,,
EEPROM_ARRAY A2_LSB,0x5,0x4E,0x4000004E,0x25/0x4E,170,,,,,,,,,
EEPROM_ARRAY A2_MSB,0x5,0x4F,0x4000004F,0x25/0x4F,171,,,,,,,,,
EEPROM_ARRAY B0_LSB,0x5,0x50,0x40000050,0x25/0x50,172,,,,,,,,,
EEPROM_ARRAY B0_MSB,0x5,0x51,0x40000051,0x25/0x51,173,,,,,,,,,
EEPROM_ARRAY B1_LSB,0x5,0x52,0x40000052,0x25/0x52,174,,,,,,,,,
EEPROM_ARRAY B1_MSB,0x5,0x53,0x40000053,0x25/0x53,175,,,,,,,,,
EEPROM_ARRAY B2_LSB,0x5,0x54,0x40000054,0x25/0x54,176,,,,,,,,,
EEPROM_ARRAY B2_MSB,0x5,0x55,0x40000055,0x25/0x55,177,,,,,,,,,
EEPROM_ARRAY DIAG_ENABLE,0x5,0x56,0x40000056,0x25/0x56,178,,,,,,,,,
EEPROM_ARRAY EEPROM_LOCK,0x5,0x57,0x40000057,0x25/0x57,179,,,,,,,,,
EEPROM_ARRAY AFEDIAG_CFG,0x5,0x58,0x40000058,0x25/0x58,180,,,,,,,,,
EEPROM_ARRAY AFEDIAG_MASK,0x5,0x59,0x40000059,0x25/0x59,181,,,,,,,,,
EEPROM_ARRAY ADD 0x5A,0x5,0x5A,0x4000005A,0x25/0x5A,182,,,,,,,,,
EEPROM_ARRAY ADD 0x5B,0x5,0x5B,0x4000005B,0x25/0x5B,183,,,,,,,,,
EEPROM_ARRAY FAULT_LSB,0x5,0x5C,0x4000005C,0x25/0x5C,184,,,,,,,,,
EEPROM_ARRAY FAULT_MSB,0x5,0x5D,0x4000005D,0x25/0x5D,185,,,,,,,,,
EEPROM_ARRAY TADC_GAIN_LSB,0x5,0x5E,0x4000005E,0x25/0x5E,186,,,,,,,,,
EEPROM_ARRAY TADC_GAIN_MID,0x5,0x5F,0x4000005F,0x25/0x5F,187,,,,,,,,,
EEPROM_ARRAY TADC_GAIN_MSB,0x5,0x60,0x40000060,0x25/0x60,188,,,,,,,,,
EEPROM_ARRAY TADC_OFFSET_LSB,0x5,0x61,0x40000061,0x25/0x61,189,,,,,,,,,
EEPROM_ARRAY TADC_OFFSET_MID,0x5,0x62,0x40000062,0x25/0x62,190,,,,,,,,,
EEPROM_ARRAY TADC_OFFSET_MSB,0x5,0x63,0x40000063,0x25/0x63,191,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE0,0x5,0x64,0x40000064,0x25/0x64,192,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE1,0x5,0x65,0x40000065,0x25/0x65,193,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE2,0x5,0x66,0x40000066,0x25/0x66,194,,,,,,,,,
EEPROM_ARRAY SERIAL_NUMBER_BYTE3,0x5,0x67,0x40000067,0x25/0x67,195,,,,,,,,,
EEPROM_ARRAY ADC_24BIT_ENABLE,0x5,0x68,0x40000068,0x25/0x68,196,,,,,,,,,
EEPROM_ARRAY OFFSET_ENABLE,0x5,0x69,0x40000069,0x25/0x69,197,,,,,,,,,
EEPROM_ARRAY ADD 0x6A,0x5,0x6A,0x4000006A,0x25/0x6A,198,,,,,,,,,
EEPROM_ARRAY ADD 0x6B,0x5,0x6B,0x4000006B,0x25/0x6B,199,,,,,,,,,
EEPROM_ARRAY ADD 0x6C,0x5,0x6C,0x4000006C,0x25/0x6C,200,,,,,,,,,
EEPROM_ARRAY ADD 0x6D,0x5,0x6D,0x4000006D,0x25/0x6D,201,,,,,,,,,
EEPROM_ARRAY ADD 0x6E,0x5,0x6E,0x4000006E,0x25/0x6E,202,,,,,,,,,
EEPROM_ARRAY ADD 0x6F,0x5,0x6F,0x4000006F,0x25/0x6F,203,,,,,,,,,
EEPROM_ARRAY PN_LSB,0x5,0x70,0x40000070,0x25/0x70,204,,,,,,,,,
EEPROM_ARRAY PN_MID,0x5,0x71,0x40000071,0x25/0x71,205,,,,,,,,,
EEPROM_ARRAY PN_MSB,0x5,0x72,0x40000072,0x25/0x72,206,,,,,,,,,
EEPROM_ARRAY SN_LSB,0x5,0x73,0x40000073,0x25/0x73,207,,,,,,,,,
EEPROM_ARRAY SN_MID,0x5,0x74,0x40000074,0x25/0x74,208,,,,,,,,,
EEPROM_ARRAY SN_MSB,0x5,0x75,0x40000075,0x25/0x75,209,,,,,,,,,
EEPROM_ARRAY PRANGE_LSB,0x5,0x76,0x40000076,0x25/0x76,210,,,,,,,,,
EEPROM_ARRAY PRANGE_MSB,0x5,0x77,0x40000077,0x25/0x77,211,,,,,,,,,
EEPROM_ARRAY ADD 0x78,0x5,0x78,0x40000078,0x25/0x78,212,,,,,,,,,
EEPROM_ARRAY ADD 0x79,0x5,0x79,0x40000079,0x25/0x79,213,,,,,,,,,
EEPROM_ARRAY ADD 0x7A,0x5,0x7A,0x4000007A,0x25/0x7A,214,,,,,,,,,
EEPROM_ARRAY ADD 0x7B,0x5,0x7B,0x4000007B,0x25/0x7B,215,,,,,,,,,
EEPROM_ARRAY ADD 0x7C,0x5,0x7C,0x4000007C,0x25/0x7C,216,,,,,,,,,
EEPROM_ARRAY ADD 0x7D,0x5,0x7D,0x4000007D,0x25/0x7D,217,,,,,,,,,
EEPROM_ARRAY ADD 0x7E,0x5,0x7E,0x4000007E,0x25/0x7E,218,,,,,,,,,
EEPROM_ARRAY EEPROM_CRC_VALUE,0x5,0x7F,0x4000007F,0x25/0x7F,219,,,,,,,,,
EEPROM_CACHE_LO1,0x5,0x80,0x40000080,0x25/0x80,220,,,,,,,,,
EEPROM_CACHE_LO2,0x5,0x81,0x40000081,0x25/0x81,221,,,,,,,,,
EEPROM_CACHE_LO3,0x5,0x82,0x40000082,0x25/0x82,222,,,,,,,,,
EEPROM_CACHE_LO4,0x5,0x83,0x40000083,0x25/0x83,223,,,,,,,,,
EEPROM_CACHE_HI1,0x5,0x84,0x40000084,0x25/0x84,224,,,,,,,,,
EEPROM_CACHE_HI2,0x5,0x85,0x40000085,0x25/0x85,225,,,,,,,,,
EEPROM_CACHE_HI3,0x5,0x86,0x40000086,0x25/0x86,226,,,,,,,,,
EEPROM_CACHE_HI4,0x5,0x87,0x40000087,0x25/0x87,227,,,,,,,,,
EEPROM_PAGE_ADDRESS,0x5,0x88,0x40000088,0x25/0x88,86,,,,,,ADDR[2],ADDR[1],ADDR[0],
EEPROM_CTRL,0x5,0x89,0x40000089,0x25/0x89,87,,,,,FIXED_ERASE_PROG_TIME,ERASE_AND_PROGRAM,ERASE,PROGRAM,
EEPROM_CRC,0x5,0x8A,0x4000007A,0x25/0x8A,88,,,,,,,,CALCULATE_CRC,
EEPROM_STATUS,0x5,0x8B,0x4000008B,0x25/0x8B,89,,,,,,PROGRAM_IN_PROGRESS,ERASE_IN_PROGRESS,READ_IN_PROGRESS,
EEPROM_CRC_STATUS,0x5,0x8C,0x4000008C,0x25/0x8C,90,,,,,,,CRC_GOOD,CRC_CHECK_IN_PROIG,
EEPROM_CRC_VALUE,0x5,0x8D,0x4000008D,0x25/0x8D,91,,,,,,,,,
UART_CONFIG,0x7,0x00,0x40000200,0x27/0x00,68,,,,,,TWO_STOP_BITS,PARITY,PARITY_EN,
UART_EN,0x7,0x01,0x40000201,0x27/0x01,69,,,,,,,,UART_EN,
BAUD_RATE_LO,0x7,0x02,0x40000202,0x27/0x02,70,,,,,,,,,
BAUD_RATE_HI,0x7,0x03,0x40000203,0x27/0x03,71,,,,,,,,,
UART_LINE_STATUS,0x7,0x04,0x40000204,0x27/0x04,72,,,,TX_COMPLETE,RX_READY,FRAMING_ERROR,PARITY_ERROR,OVERRUN_ERROR,
UART_INTERRUPT_STATUS,0x7,0x08,0x40000208,0x27/0x08,73,,,,,,,UART_TXCOMPLETE_I,UART_RXCOMPLETE_I,
UART_INTERRUPT_ENABLE,0x7,0x0A,0x4000020A,0x27/0x0A,74,,,,,,,UART_TXCOMPLET_INT_EN,UART_RXRDY_INT_EN,
UART_RX_BUF,0x7,0x0C,0x4000020C,0x27/0x0C,75,,,,,,,,,
UART_RX_BUF,0x7,0x0E,0x4000020E,0x27/0x0E,76,,,,,,,,,
PWM_ON_TIME1,0x7,0x10,0x40000210,0x27/0x10,77,,,,,,,,,
PWM_ON_TIME2,0x7,0x11,0x40000211,0x27/0x11,78,,,,,,,,,
PWM_OFF_TIME1,0x7,0x12,0x40000212,0x27/0x12,79,,,,,,,,,
PWM_OFF_TIME2,0x7,0x13,0x40000213,0x27/0x13,80,,,,,,,,,
PWM_EN,0x7,0x14,0x40000214,0x27/0x14,81,,,,,,,,PWM_EN,
GPIO_INPUT,0x7,0x18,0x40000218,0x27/0x18,82,,,,,,,GPIO2_I,GPIO1_I,
GPIO_OUTPUT,0x7,0x19,0x40000219,0x27/0x19,83,,,,,,,GPIO2_O,GPIO1_O,
GPIO_DIR,0x7,0x1A,0x4000021A,0x27/0x1A,84,,,,,GPIO2_CFG,GPIO1_CFG,GPIO2_DIR,GPIO1_DIR,
REMAP,0x7,0x20,0x40000220,0x27/0x20,85,,,,,,,,REMAP,
